Input1,Input2,Input3,Input4
4.81,2.04,5.78,4.33
4.85,2,5.82,4.22
4.85,1.99,5.77,4.15
4.79,2,5.8,4.2
4.84,2,5.76,4.11
4.83,2.03,5.8,4.24
4.8,2.06,5.84,4.28
4.85,2,5.77,4.3
4.79,2,5.77,4.02
4.84,2.01,5.85,4.12
4.84,1.99,5.78,4.14
4.82,2.01,5.77,4.18
4.85,2.03,5.75,4.24
4.85,2.05,5.72,4.14
4.79,2.03,5.75,4.12
4.75,2.06,5.82,3.89
4.76,1.99,5.9,4.45
4.81,2.03,5.79,4.12
4.85,2.01,5.88,3.81
4.97,2.06,5.72,4.12
4.92,2.06,5.7,4.11
4.94,2.07,5.83,4.02
4.9,1.99,5.8,4.16
4.91,2.03,5.77,4.16
4.96,2.03,5.75,4.14
5.04,1.99,5.83,3.91
4.98,1.99,5.69,3.78
4.93,2.04,5.83,3.79
4.88,2.01,5.85,3.86
4.87,2.01,5.86,4.23
4.92,2.01,6.24,3.82
4.89,2.02,5.66,3.73
4.85,2.02,5.7,3.89
2.8,5.13,2.52,4.99
3.75,5.33,2.21,5.25
3.02,5.32,2.14,5.22
3.56,5.42,1.95,4.86
3.62,5.47,1.9,5.5
3.7,5.48,2.99,4.44
3.78,5.2,2.85,4.13
3.81,5.22,3.21,4.09
3.79,5.08,2.82,4.66
3.85,5.07,3.18,3.85
3.91,5.09,2.85,3.97
4.25,3.28,5.21,3.85
3.96,3.1,5.35,3.87
4,3.03,5.05,4
4.05,2.99,5.04,4.01
3.94,3,4.96,4.09
4.01,2.98,5,4.04
1.99,4.7,4.01,5.44
1.93,4.63,3.81,5.5
3.38,5.3,2.06,4.95
3.36,5.49,2.49,4.79
3.36,5.5,2.1,4.87
3.35,5.47,1.96,4.9
3.44,5.6,2.06,4.89
3.46,5.53,1.98,4.93
3.47,5.6,1.99,4.98
5.25,2.61,5.07,3.9
5.22,2.31,5.31,4.14
5.22,2.21,5.33,3.08
5.02,2.21,5.34,3.99
5.06,2.11,5.45,4.62
3.9,3.21,4.84,3.97
1.88,4.96,3.7,5.52
1.85,5.23,4.22,5.8
1.76,5.12,3.48,5.84
1.85,5.25,3.55,5.74
2.35,4.84,2.87,5.27
2.32,4.92,2.84,5.19
2.32,4.89,2.82,5.2
2.38,4.96,2.79,5.33
2.42,4.99,2.74,5.32
2.49,4.94,2.74,5.2
2.38,4.96,2.57,5.32
3.64,5.32,2.16,5.02
3.26,5.32,2.17,5.11
3.64,5.42,2.22,4.89
4,5.48,1.99,4.93
3.28,5.44,1.94,4.98
3.43,5.53,2.67,5.02
3.79,5.05,2.97,4.65
3.72,5.31,2.7,4.73
5.28,5.34,2.77,4.61
4.08,4.64,3.5,3.71
4.13,4.6,4.9,3.67
4.35,4.21,3.42,3.5
4.44,4.11,3.51,3.5
4.56,4.11,4.32,3.31
4.49,4.17,4.52,3.3
4.64,4.77,3.82,3.27
5.62,4.2,3.76,3.21
4.81,4.95,3.8,3.15
4.98,4.54,4.74,2.42
5.75,4.02,5.16,1.87
5.73,3.95,5.13,1.84
5.64,3.68,6.42,1.88
4.16,3.4,4.85,4.17
2.51,4.92,2.7,5.22
3.67,5.16,2.83,4.27
3.73,5.05,3.03,4.19
3.69,4.97,3.25,4.08
4.32,4.98,2.82,4.04
4.59,4.97,2.86,3.81
4.16,4.76,4.23,3.62
4.16,4.7,3.29,3.53
4.18,4.68,3.37,3.54
4.92,3.83,5.5,2.65
5.03,3.95,4.23,2.6
4.99,3.9,4.28,2.53
5.05,2.38,5.09,3.79
4.76,2.18,5.25,3.48
4.08,4.18,3.53,3.46
4.19,4.31,3.42,3.43
4.45,4.17,3.76,2.99
4.42,4.08,3.78,2.9
4.01,4.99,4.88,3.89
3.93,3.74,4.94,3.93
3.9,3.09,4.86,3.93
3.73,3.77,4.76,3.93
3.75,2.99,4.66,3.93
3.71,3.81,4.64,4.05
3.65,2.98,4.65,4.08
3.66,3.11,4.69,4.02
3.55,3.14,4.61,4.04
3.44,3.41,4.45,4.25
2.38,5.03,2.45,5.28
2.75,5.05,2.42,4.91
2.88,4.99,2.38,4.91
2.89,5.02,2.33,5.02
2.91,5.08,2.32,4.97
2.9,5.07,2.3,4.97
3.04,5.18,2.26,4.98
2.99,5.25,2.23,5.04
2.94,5.21,2.18,5
2.74,5.35,2.14,4.97
5.28,4.22,3.61,3.46
5.45,4.25,4.07,3.29
4.71,4.08,3.7,3.19
4.83,4.26,3.77,3.19
4.97,3.86,4.13,3.2
2.15,5.34,2.38,5.26
5.32,3.49,4.62,2
5.34,3.49,4.64,2.04
5.32,3.42,4.62,2.35
5.33,3.42,4.75,2
5.44,3.41,4.72,2.12
5.26,2.43,5.24,2.33
5.28,2.34,5.2,2.35
5.23,2.33,5.35,2.47
5.17,2.23,5.24,2.55
5.65,2.23,5.18,2.48
5.05,2.2,5.19,2.55
5.12,2.08,5.29,2.74
4.97,2.1,5.33,2.73
5.04,2.11,5.4,2.71
5.05,2.11,5.3,2.79
4.97,1.93,5.43,2.89
4.96,1.72,5.48,3.04
4.98,1.71,5.5,3.12
4.93,1.74,5.56,3.2
4.86,1.63,5.49,3.18
4.84,1.62,5.72,3.21
4.83,1.65,5.7,3.26
