"0.00,0.00,2.02","0.00,6.48,2.02","4.00,0.00,2.02","4.00,6.48,2.05"
4.83,2,5.77,3.81
4.83,2.05,5.8,3.81
4.87,2.02,5.78,3.84
4.83,2.01,5.69,3.83
4.81,2,5.83,3.86
4.85,2,5.8,3.89
4.83,2.04,5.81,3.93
4.83,2.02,5.8,3.96
4.8,2.04,5.73,4.07
4.79,2.05,5.74,4.15
4.81,2.04,5.78,4.33
4.85,2,5.82,4.22
4.85,1.99,5.77,4.15
4.79,2,5.8,4.2
4.84,2,5.76,4.11
4.83,2.03,5.8,4.24
4.8,2.06,5.84,4.28
4.85,2,5.77,4.3
4.79,2,5.77,4.02
4.84,2.01,5.85,4.12
4.84,1.99,5.78,4.14
4.82,2.01,5.77,4.18
4.85,2.03,5.75,4.24
4.85,2.05,5.72,4.14
4.79,2.03,5.75,4.12
4.75,2.06,5.82,3.89
4.76,1.99,5.9,4.45
4.81,2.03,5.79,4.12
4.85,2.01,5.88,3.81
4.84,2.06,5.77,3.85
4.88,2.05,5.85,3.96
4.97,2.03,5.85,3.92
4.97,2.06,5.72,4.12
4.92,2.06,5.7,4.11
4.94,2.07,5.83,4.02
4.9,1.99,5.8,4.16
4.91,2.03,5.77,4.16
4.96,2.03,5.75,4.14
5.04,1.99,5.83,3.91
4.98,1.99,5.69,3.78
4.93,2.04,5.83,3.79
4.88,2.01,5.85,3.86
4.87,2.01,5.86,4.23
4.92,2.01,6.24,3.82
4.89,2.02,5.66,3.73
4.86,2.05,5.66,3.81
4.85,2.02,5.7,3.89
4.77,1.94,5.66,3.92
4.77,2.31,6.39,3.98
4.68,2.14,5.53,3.93
4.95,2.12,5.53,4.08
4.67,2.09,5.43,3.8
4.48,2.27,5.34,3.77
4.46,2.41,5.33,3.8
4.46,2.45,5.32,3.81
4.35,2.31,5.18,3.77
4.27,2.33,5.13,3.82
4.21,2.37,5.05,3.86
4.09,2.3,5.09,4.02
4.15,2.9,5.05,4.03
3.97,2.75,4.98,4.06
3.93,2.81,4.98,4.1
3.92,2.85,4.93,4.09
3.85,2.96,4.89,4.14
3.8,3.01,4.77,4.14
3.72,3.27,4.66,4.09
3.56,3.55,4.64,4.17
3.63,3.72,4.52,4.22
3.57,3.9,4.59,4.3
3.49,3.16,4.53,4.38
3.49,3.45,4.6,4.42
3.3,3.4,4.41,4.45
3.26,3.43,4.37,4.56
3.16,3.54,4.38,4.61
3.16,3.55,4.3,4.67
3.08,3.7,4.17,4.68
3.03,3.77,4.2,4.68
2.98,3.78,4.08,4.74
2.88,3.88,4.02,4.75
2.87,3.9,4.05,4.84
2.74,4.02,4.02,4.95
2.72,4.06,4,4.97
2.69,4.08,3.98,5.03
2.55,4.21,3.89,5.08
2.65,4.2,3.9,5.12
2.6,4.19,3.9,5.2
2.55,4.25,3.91,5.29
2.4,4.3,3.82,5.26
2.34,4.31,3.73,5.38
2.3,4.3,3.7,5.42
2.17,4.44,3.7,5.48
2.12,4.4,3.63,5.49
2.11,5.55,3.62,5.53
2.1,5.05,3.62,5.55
2.07,4.83,3.65,5.54
1.93,4.82,3.56,5.59
1.89,4.91,3.55,5.61
1.85,5.14,3.48,5.55
1.84,5.05,3.57,5.64
1.73,4.95,3.68,5.6
1.79,5.06,3.76,5.63
1.73,5.07,3.27,5.73
1.8,5.07,3.26,5.65
1.88,5.71,3.29,5.69
1.87,5.06,3.25,5.79
