x,y,z
0.73,4.72,1.33
0.72,4.72,1.31
0.71,4.73,1.28
0.7,4.73,1.28
0.69,4.73,1.29
0.67,4.73,1.28
0.66,4.73,1.25
0.63,4.73,1.23
0.59,4.72,1.21
0.52,4.66,1.23
0.43,4.67,1.18
0.38,4.63,1.22
0.36,4.6,1.26
0.33,4.58,1.29
0.33,4.56,1.3
0.31,4.6,1.24
0.29,4.62,1.19
0.27,4.66,1.15
0.32,4.67,1.17
0.34,4.69,1.15
0.33,4.64,1.21
0.31,4.6,1.25
0.3,4.64,1.19
0.32,4.66,1.15
0.33,4.62,1.18
0.4,4.63,1.22
0.3,4.64,1.2
0.33,4.66,1.18
0.41,4.68,1.21
0.49,4.69,1.2
0.51,4.71,1.17
0.58,4.73,1.08
0.54,4.75,1.03
0.51,4.76,1.01
0.51,4.77,0.99
0.47,4.77,1
0.44,4.77,0.99
0.42,4.79,0.97
0.46,4.81,0.97
0.53,4.82,1.01
0.58,4.81,1.04
0.6,4.8,1.08
0.52,4.79,1.06
0.56,4.79,1.08
0.61,4.79,1.13
0.64,4.77,1.15
0.63,4.77,1.16
0.6,4.71,1.26
0.62,4.68,1.17
0.62,4.62,1.21
0.57,4.55,1.31
0.6,4.52,1.41
0.67,4.49,1.38
0.74,4.45,1.39
0.79,4.42,1.39
0.84,4.39,1.44
0.82,4.34,1.41
0.81,4.28,1.42
0.81,4.25,1.42
0.86,4.17,1.35
0.86,4.09,1.49
0.86,4.03,1.53
0.87,3.97,1.58
0.86,3.92,1.49
0.89,3.86,1.54
0.92,3.8,1.5
0.9,3.74,1.43
0.95,3.6,1.24
1.11,3.47,1.2
1.05,3.44,1.32
1.05,3.39,1.33
0.99,3.33,1.32
0.96,3.29,1.31
0.93,3.23,1.31
0.9,3.17,1.33
0.92,3.11,1.45
0.94,3.06,1.42
0.94,2.99,1.39
0.96,2.93,1.39
0.96,2.87,1.34
0.94,2.79,1.31
0.94,2.72,1.41
0.94,2.67,1.5
0.93,2.59,1.44
0.94,2.55,1.47
0.9,2.49,1.46
0.86,2.43,1.45
0.86,2.37,1.43
0.88,2.33,1.44
0.89,2.29,1.5
0.87,2.23,1.5
0.87,2.18,1.44
0.88,2.11,1.54
0.89,1.98,1.41
0.88,1.96,1.38
0.92,1.85,1.45
0.9,1.82,1.48
0.88,1.8,1.43
0.85,1.79,1.5
0.79,1.79,1.54
0.72,1.8,1.51
0.8,1.71,1.56
0.86,1.67,1.6
0.91,1.64,1.54
0.94,1.6,1.58
1.04,1.58,1.5
1.06,1.58,1.59
1.04,1.57,1.52
1.13,1.57,1.52
1.19,1.58,1.59
1.23,1.58,1.59
1.24,1.54,1.53
1.28,1.56,1.56
1.35,1.56,1.56
1.41,1.56,1.53
1.47,1.56,1.53
1.54,1.58,1.51
1.58,1.55,1.45
1.6,1.52,1.53
1.71,1.59,1.56
1.79,1.62,1.52
1.88,1.65,1.5
1.96,1.64,1.5
2.02,1.65,1.45
2.06,1.68,1.43
2.09,1.68,1.4
2.14,1.68,1.41
2.14,1.65,1.43
2.15,1.62,1.45
2.41,1.74,1.47
2.45,1.74,1.56
