Anchor1,Anchor2,Anchor3,Anchor4
4.41,1.68,6.08,2.19
4.42,1.63,6.01,2.22
4.43,1.6,6.12,2.22
4.38,1.56,5.99,2.22
4.32,1.59,6.2,2.23
4.39,1.7,6.17,2.3
4.42,1.72,6.15,2.22
4.39,1.7,6.17,2.2
4.37,1.74,6.14,2.25
4.37,1.7,6.11,2.23
4.25,1.66,6.05,2.23
4.28,1.62,6.08,2.3
4.23,1.66,6.09,2.33
4.27,1.67,6.12,2.32
4.27,1.61,6.05,2.37
4.23,1.63,6.08,2.33
4.22,1.73,6.09,2.27
4.23,1.65,6.08,2.29
4.23,1.68,6.06,2.28
4.21,1.66,6.08,2.37
4.2,1.66,6.01,2.36
4.21,1.65,6.05,2.32
4.25,1.68,6.02,2.3
4.22,1.73,6.01,2.33
4.27,1.66,6.02,2.25
4.26,1.62,6.04,2.26
4.24,1.61,6.02,2.26
4.26,1.65,6.08,2.29
4.3,1.61,6.08,2.28
4.23,1.64,6.08,2.27
4.3,1.63,6.06,2.32
4.27,1.67,6.09,2.32
4.32,1.67,6.06,2.28
4.27,1.59,6.07,2.24
4.22,1.69,6.22,2.25
4.27,1.75,5.96,2.26
4.24,1.73,5.99,2.22
4.31,1.8,6.18,2.16
4.36,1.77,6.14,2.1
4.48,1.83,6.05,2.12
4.8,1.83,6.12,2.06
5.07,1.8,6.07,2.06
5.05,1.8,6.06,1.99
5.11,1.78,5.93,2.02
4.52,2.41,5.98,1.98
4.57,1.93,6.02,1.99
4.52,1.85,5.97,1.91
4.52,1.91,6,1.87
4.53,2.02,5.92,1.82
4.49,2.11,5.93,1.85
4.49,2.03,5.81,1.83
4.46,2.08,5.9,1.85
4.56,2.16,5.74,1.84
4.54,2.24,5.79,1.82
4.56,2.32,5.78,1.77
4.58,2.39,5.75,1.77
4.6,2.47,5.89,1.77
4.67,2.59,5.88,1.72
4.68,2.84,5.74,1.63
4.71,2.47,5.8,1.61
4.73,2.6,5.77,1.56
4.74,2.61,5.77,1.62
4.72,2.67,5.76,1.49
4.83,2.68,5.79,1.56
4.79,2.83,5.88,1.42
4.87,3.05,5.77,1.43
4.87,2.89,5.77,1.39
4.8,3.34,5.74,1.4
4.77,3.11,5.81,1.39
4.82,3.17,5.83,1.37
4.77,3.35,5.83,1.33
4.83,3.07,5.83,1.35
4.83,3.64,5.8,1.34
4.87,2.52,5.87,1.34
4.72,2.52,5.76,1.34
4.82,2.56,5.73,1.33
4.81,2.6,5.76,1.33
4.77,2.68,5.69,1.33
4.8,2.77,5.75,1.37
4.79,2.78,5.72,1.4
4.74,2.85,5.66,1.41
4.71,2.89,5.71,1.45
4.7,2.85,5.68,1.43
4.76,2.98,5.56,1.42
4.73,2.89,5.57,1.48
4.72,2.85,5.57,1.49
4.68,2.83,5.6,1.51
4.74,2.81,5.64,1.43
4.68,2.79,5.72,1.44
4.66,2.83,5.64,1.51
4.72,2.78,5.64,1.45
4.68,2.79,5.53,1.5
4.72,2.75,5.59,1.54
4.68,2.74,5.52,1.56
4.64,2.74,5.58,1.51
4.62,2.84,5.48,1.59
4.58,3.01,5.45,1.56
4.54,2.55,5.33,1.64
4.53,3.17,5.34,1.63
4.48,2.85,5.36,1.71
4.41,2.87,5.34,1.78
4.45,2.92,5.33,1.81
4.39,3.02,5.22,1.82
4.35,3.21,5.2,1.86
4.3,2.75,5.17,1.99
4.23,2.84,5.12,1.96
4.25,3.1,5.06,2.05
4.21,3.06,5.02,2.07
4.12,2.95,4.96,2.09
4.1,2.97,4.93,2.16
3.98,3.06,4.93,2.27
3.92,3.1,4.74,2.37
3.86,3.19,4.65,2.38
3.81,3.34,4.45,2.37
3.76,3.31,4.46,2.47
3.68,3.29,4.51,2.58
3.7,3.24,4.55,2.64
3.64,3.28,4.5,2.63
3.62,3.23,4.54,2.71
3.58,3.37,4.41,2.77
3.57,3.37,4.25,2.79
3.55,3.43,4.32,2.8
3.44,3.56,4.27,2.85
3.46,3.6,4.25,2.89
3.43,3.59,4.17,2.99
3.37,3.63,4.05,3.03
3.39,3.54,4.06,3.03
3.34,3.56,4.11,3.06
3.29,3.59,4.12,3.06
3.28,3.58,4.07,3.11
3.24,3.61,4,3.15
3.24,3.59,4.01,3.18
3.2,3.71,3.93,3.23
3.16,3.71,3.9,3.25
3.17,3.71,3.87,3.15
3.12,3.78,3.85,3.25
3.11,3.77,3.77,3.32
3.11,3.91,3.73,3.29
3.1,3.86,3.72,3.31
3.06,3.81,3.66,3.41
3,3.8,3.67,3.44
2.98,3.85,3.64,3.42
2.94,3.85,3.63,3.42
2.93,3.85,3.69,3.54
2.89,3.85,3.58,3.56
2.8,3.95,3.71,3.61
2.82,3.89,3.69,3.62
2.84,3.87,3.7,3.61
2.85,4,3.69,3.63
2.83,4,3.63,3.64
2.81,3.95,3.66,3.69
2.78,3.98,3.58,3.67
2.77,3.93,3.56,3.71
2.74,4,3.52,3.71
2.76,4,3.55,3.65
2.76,3.98,3.57,3.65
2.74,3.94,3.57,3.64
2.74,3.99,3.56,3.63
2.74,3.93,3.58,3.74
2.73,3.94,3.56,3.8
2.76,4.03,3.59,3.85
2.74,3.95,3.63,3.79
2.73,3.92,3.7,3.78
2.68,4.01,3.81,3.78
2.73,4.06,3.87,3.68
2.68,4.04,3.83,3.71
2.7,3.94,3.89,3.71
2.67,4,3.83,3.69
2.67,3.93,3.96,3.66
2.68,3.93,3.89,3.85
2.61,3.87,3.9,3.72
2.68,3.83,3.68,3.66
2.61,3.86,3.7,3.72
2.68,3.81,3.74,3.67
2.63,3.74,3.77,3.68
2.56,3.73,3.78,3.76
2.59,3.66,4.48,3.76
2.51,3.62,3.84,3.69
2.54,3.63,3.83,3.75
2.48,3.64,4.54,3.79
2.42,3.59,4.31,3.79
2.43,3.58,4.18,3.83
2.43,3.54,4.09,3.91
2.42,3.56,4.1,3.86
2.38,3.56,4.08,4.02
2.39,3.53,4.08,3.89
2.29,3.53,4.08,3.95
2.34,3.46,4.22,3.93
2.36,3.44,4.24,3.9
2.36,3.44,4.41,3.81
2.31,3.34,4.38,3.79
2.34,3.35,4.55,3.89
2.3,3.36,4.72,3.86
2.3,3.39,4.88,3.95
2.3,3.33,5.04,3.96
2.31,3.31,4.28,3.99
2.3,3.26,4.19,3.93
2.27,3.28,4.29,3.98
2.3,3.29,4.28,3.93
2.25,3.24,4.81,4.01
2.25,3.23,4.9,3.96
2.21,3.18,4.71,3.99
2.33,3.19,4.72,3.93
2.3,3.18,4.84,3.94
2.29,3.13,4.82,3.93
2.34,3.18,4.83,3.91
2.3,3.14,4.86,3.84
2.37,3.14,4.86,3.81
2.33,3.08,4.87,3.78
2.36,3.09,4.87,3.76
2.4,3.04,4.8,3.79
2.43,3.1,4.82,3.75
2.41,3.1,4.73,3.78
2.45,3.05,4.8,3.72
2.47,3.11,4.69,3.7
2.54,3.05,4.63,3.78
2.52,2.94,4.58,3.75
2.62,2.9,4.58,3.78
2.62,2.97,4.7,3.74
2.72,2.85,4.67,3.63
2.75,2.86,4.72,3.61
2.79,2.77,4.89,3.56
2.81,2.71,4.97,3.54
2.91,2.74,5.02,3.57
2.93,2.7,5.06,3.49
3.01,2.61,5.09,3.4
3.03,2.55,5.1,3.42
3.01,2.59,5.12,3.46
3.11,2.53,5.11,3.39
3.13,2.52,5.28,3.33
3.1,2.39,5.34,3.21
3.1,2.3,5.23,3.12
3.19,2.37,5.16,3.08
3.15,2.36,5.17,3.13
3.36,2.24,5.12,3.08
3.3,2.27,5.26,3.09
3.34,2.25,5.31,3.1
3.35,2.16,5.26,3.06
3.42,2.14,5.31,3.1
4.6,2.09,5.34,3.02
3.34,2.12,5.42,3.08
3.46,1.99,5.38,3.05
3.49,2.08,5.56,3.06
3.45,2.04,5.41,2.94
3.43,2.03,5.46,3
3.52,2.09,5.67,3.05
3.58,2,5.75,3.02
3.62,1.93,5.76,2.97
3.65,1.92,6.07,2.99
3.69,1.88,6.09,3
3.74,1.82,6.28,2.95
3.78,1.77,5.58,2.88
3.87,1.71,5.87,2.86
3.83,1.69,5.94,2.8
3.88,1.69,6.02,2.82
3.91,1.64,6.06,2.8
3.89,1.63,6.16,2.8
