x,y,z
561.3441549,983.8962585,933.8860477
511.0329864,337.350116,842.5297049
14.68059952,530.2424474,436.7219644
190.3592117,917.7602762,604.6310049
249.2101491,247.7597025,946.6109728
340.0667644,594.3090791,143.278924
528.5481794,702.9989128,399.8650478
532.9959634,548.3860813,704.3878133
380.5170804,535.3821056,441.1759904
429.1848111,962.8194339,345.1676244
112.6447253,609.4498185,393.1689598
770.5995773,662.5550436,576.8329366
173.8559958,598.4996707,778.764077
831.6706649,154.7016279,254.066169
343.3558586,958.4251385,371.5743299
575.8158667,494.0298928,757.6335102
273.6325976,936.9106677,74.4799455
102.7841732,5.762841903,747.4335416
723.1186991,853.8084122,198.4389715
896.9953587,765.533151,377.471248
998.5217337,269.6579024,272.9325463
714.6491981,833.1060326,584.6969434
393.0732914,827.8589817,36.52456349
111.5865241,243.8011709,530.8819054
592.7040816,871.0223195,794.2933373
54.14019253,519.4861807,271.2769115
892.4619793,479.8838022,836.7957431
591.612112,995.9300147,120.0297949
533.8215676,403.2257141,27.81535959
70.55242434,764.374591,42.76430875
786.0645644,181.2850298,887.0514964
395.0450474,839.3182819,299.6387618
734.1691924,197.4657285,219.680813
947.8448417,422.2422781,384.3091949
5.488451515,13.30869405,460.0442235
754.7296854,855.2863543,777.2707448
664.1283654,996.0328947,60.36538876
918.4637447,910.9462381,796.6139697
786.6599255,68.70673867,97.45990757
202.5465958,385.488288,772.9062082
765.2140529,714.7568231,578.5246462
442.9110845,865.7345564,268.9031613
517.8356246,437.9309347,657.859677
768.6657122,739.6754759,935.9576888
209.7668095,283.7361677,59.67864193
435.38974,394.5508766,135.0286513
341.3336524,439.5672994,61.24661241
47.1939237,227.4115234,40.65525689
864.9065521,731.5669131,746.3334598
470.4283031,96.43791044,354.2712441
649.4905129,94.14854603,205.6067929
802.4397613,578.1890126,618.7291163
747.279212,548.3614671,914.762678
516.9067257,897.4956215,271.8848461
148.1302081,357.6900185,62.33703369
294.9461196,927.3603302,883.2382509
703.5877741,254.0373649,284.2945058
951.552855,219.261031,709.5149796
946.3359112,243.0910088,639.4865993
642.4209781,247.2392552,801.191108
220.1564508,214.6479785,217.7775693
249.0984162,796.5747747,239.7196119
507.4998147,747.6722349,198.2492613
508.9948462,994.6325879,238.5630169
515.5350124,210.4374761,479.6032899
565.0764296,985.5209631,116.9879712
177.0799215,484.1236516,240.2497857
218.1246314,152.7483563,696.6574263
66.77386739,965.5951217,417.028026
257.0176225,67.65289695,88.33583752
831.0772657,990.7639132,217.7683432
595.6559363,798.6295402,241.3873422
94.54485677,634.5524726,814.2522315
466.6653349,169.1024056,997.2731605
298.9551315,588.6564954,60.72438659
317.3719792,847.1020301,306.2714192
349.0957113,547.279643,282.9887234
994.6475,252.8582587,50.55832526
954.4596577,446.8871058,658.5700311
912.1253475,434.6616984,493.9023616
616.3866887,28.39806537,723.5528413
54.07322391,185.4230279,986.7131434
270.5734541,28.04151321,697.4398975
382.8880451,891.4968225,67.20700427
198.899295,781.7669037,305.2824786
578.0018413,412.7720353,9.595621319
903.6237325,897.8901176,156.553083
670.1664496,275.6258364,268.2857705
392.176052,994.1230815,86.8331501
245.583376,942.2295666,16.60744763
186.3272946,599.4758807,628.3322777
0.163218447,920.4687028,268.86692
732.6344356,709.3405118,709.6927057
670.5956177,268.4207355,735.5314191
757.9609799,829.9773636,530.4528313
351.0312299,270.9541287,270.0035653
469.9626676,501.6195625,268.6109476
49.80918489,197.0846404,128.5949885
958.2113788,296.6668228,94.83811175
