x,y,z
94.52781024,60.1051655,74.78107569
2.5836916,22.92612702,10.83521235
13.73312447,23.11348508,36.20118116
0.514368009,78.91674422,24.26513785
75.04784144,77.80844415,38.00981115
82.36515079,12.58776418,80.46055561
88.91356015,11.22465747,56.07485928
63.28756903,65.1723172,94.78547761
79.77331736,24.30908959,17.96037574
30.57002843,10.35633298,13.97886392
96.58095653,5.081089089,88.13484362
18.1290983,99.82151896,10.45770114
45.46155753,66.19177446,4.989427134
38.35513042,20.97736511,27.73936647
83.87984835,13.38578971,24.89781577
53.11164534,32.491063,57.09607609
32.29549753,71.04870799,47.99840256
34.88435638,64.49502049,58.51066295
86.04740695,19.15171269,12.44466607
54.42423673,55.80359354,26.35482222
86.94731172,15.24995618,12.13589693
24.88629944,15.28725142,38.27737384
28.16589351,9.314105322,72.37465249
40.84369221,16.78758736,59.83829363
84.43507412,72.73164967,95.29523385
81.99411997,50.59073506,33.64314321
26.4775817,86.19032043,12.97744164
55.12505586,57.90009683,40.75333007
0.571287,99.95638529,6.81495349
63.28658345,14.97456719,28.31949557
23.67655262,24.27850357,71.75739809
69.38113169,61.35860747,46.08325341
86.03831473,76.07414094,50.81577763
97.5286029,47.35072172,96.06686546
17.70278507,27.71927008,79.70603498
32.16212447,67.89241253,24.15178802
57.66981945,52.89447666,48.80139609
82.96931889,54.03172032,56.47492046
93.04015439,55.67112786,23.17778359
87.77464235,66.62918154,74.4697476
49.46669197,36.27028875,23.46135656
7.963185299,73.78591287,49.62574534
99.13203957,39.45710606,74.37241757
26.41598283,73.07115061,75.21718096
59.60340766,48.72706425,15.84952362
21.25819685,67.99610887,81.17613428
64.92061117,51.57702357,2.640612683
90.83968296,75.21065403,48.46265992
53.81631113,85.5604645,4.793281445
34.95914729,82.08381033,47.20000204
91.4921611,39.67770309,4.643435458
10.9885377,86.5207138,45.75358073
35.30422962,14.93248887,29.06965474
49.65426437,41.29955153,15.95540277
29.83269765,86.77587171,63.52836293
98.83533704,76.96720451,36.69386771
42.21338295,97.37893496,88.96247692
31.07141463,54.75240811,7.311491981
3.182785397,90.81253624,21.00448874
70.86382047,52.28219338,11.61188824
41.04474014,79.34958063,85.4147959
47.85550236,27.44856066,8.818888337
14.27254614,56.59846962,86.64200513
40.29498433,1.962475981,99.81740121
49.69942265,55.03400358,48.37479417
0.162201324,92.43614108,50.85438248
61.67012038,98.96470931,82.80694297
64.27004375,20.84361144,60.44340605
1.460728472,83.27416077,47.97301548
55.84911729,62.11039095,87.1798485
19.4303371,9.858450676,3.468967358
84.7187595,26.60922596,3.55084797
45.54432369,70.44346833,49.52343345
33.52004327,0.655443289,53.72717539
84.92032863,8.489423049,59.76883725
55.48450275,69.73631816,12.36706327
52.19324944,71.45733112,50.79631658
8.305062001,33.38350869,11.8250814
37.09209076,42.37346852,70.51267025
33.64083804,25.82760312,54.38045838
